,Column Labels,,,,,,,,,
Banco Popular de Puerto Rico,16625900,29209600,40411150,24567100,83,240,430,334,110813750,1087
FinWise Bank,22475000,42933300,28601100,16564100,49,65,61,23,110573500,198
First Colorado National Bank,26335900,24460400,32053900,27452000,16,25,32,27,110302200,100
Citizens Bank of Pennsylvania,21454300,29967300,29287400,28168600,78,180,231,170,108877600,659
Busey Bank,16080200,36690600,29071683,26585500,19,38,38,38,108427983,133
Pacific Commerce Bank,12221100,30880600,27025400,36887500,18,41,38,50,107014600,147
"Webster Bank, National Association",26399500,25201300,33577800,20896900,62,125,127,67,106075500,381
Heritage Bank of Commerce,9002500,19497300,22228300,52210400,16,35,42,62,102938500,155
Independent Bank,25512300,24484100,31456500,20922700,25,40,45,38,102375600,148
"Icon Bank of Texas, National Association",20215900,35708500,20712100,25733600,27,40,16,25,102370100,108
Peoples Bank,15491900,28001900,22990700,34719700,30,55,72,71,101204200,228
HomeBanc,1818300,16675900,39875700,42584400,11,45,69,67,100954300,192
First Utah Bank,12467200,29800100,32806200,24962000,14,31,33,22,100035500,100
Columbia State Bank,14780700,24284400,22527497,38029700,59,62,66,93,99622297,280
First American Bank,11112300,33450400,36491908,18457600,21,59,79,42,99512208,201
BancorpSouth Bank,23227600,26410200,27096017,22117500,35,70,52,66,98851317,223
Commercial Bank of California,12846300,45198000,19733200,20467600,13,24,15,18,98245100,70
"Alaska Growth Capital BIDCO, Inc.",13274800,8070000,35201300,40598500,9,10,28,36,97144600,83
North State Bank,40433000,44460200,12224000,,35,45,10,,97117200,90
HomeStreet Bank,6985100,41199900,22204000,26487500,15,55,37,31,96876500,138
Allegiance Bank,19164100,26950600,31088000,18786900,16,35,38,35,95989600,124
Bank of the Ozarks,2499500,17584400,49423300,26232600,11,22,60,46,95739800,139
First General Bank,14098000,13201000,26799100,41241000,8,30,40,50,95339100,128
GBC International Bank,8187200,23355200,29375500,33910700,11,22,37,45,94828600,115
"Bremer Bank, National Association",8402500,25637200,30344500,30156300,22,75,59,82,94540500,238
First Landmark Bank,7031900,31537100,36510800,18368700,9,20,26,12,93448500,67
Centennial Bank,8031300,27244600,26076600,32083200,12,37,40,36,93435700,125
Paradise Bank,17789000,29914000,26735000,18682500,15,23,26,11,93120500,75
"BizCapital BIDCO I, LLC",4910100,18230000,39530000,30028900,5,8,17,12,92699000,42
MidFirst Bank,21238000,28055600,19865300,22927590,16,33,19,26,92086490,94
Beneficial Bank,14707000,34779300,21588000,19572400,15,61,39,41,90646700,156
Mountain America FCU,15849000,24725900,23485700,24115700,73,104,99,73,88176300,349
BNB Bank,24720000,34220000,16972500,11700000,19,44,16,15,87612500,94
Legence Bank,1237700,43630200,23579300,17770200,7,41,23,19,86217400,90
Embassy National Bank,6197000,31448400,28532500,19593000,6,20,24,22,85770900,72
"People's United Bank, National Association",12578200,25535900,25358540,22052000,41,89,95,71,85524640,296
Community Bank of Pickens County,6809000,25654000,41040300,11907200,8,16,17,12,85410500,53
BMO Harris Bank National Association,3058800,24933900,28224000,29066500,10,46,42,64,85283200,162
Cathay Bank,20907300,28712300,17533000,17139000,16,31,39,39,84291600,125
CIBC Bank USA,21600700,33394800,8051600,20942000,25,36,11,23,83989100,95
EagleBank,14397500,20671500,25435100,23195000,24,46,44,42,83699100,156
New York Business Development Corporation,12498100,22516500,24293300,23135900,18,36,32,45,82443800,131
"CenterState Bank, National Association",20349400,26529400,23480600,12012800,19,35,30,29,82372200,113
Whitney Bank,5269100,33384124,22455708,21058800,24,105,67,67,82167732,263
"Wilmington Savings Fund Society, FSB",28106000,25139800,15521100,13150700,37,45,35,39,81917600,156
First United Bank and Trust Company,3809500,19161900,28301300,30527800,7,26,42,46,81800500,121
1st Constitution Bank,12735000,22170000,24630000,21455000,17,45,36,26,80990000,124
"Texas Citizens Bank, National Association",14555000,36278000,10572000,16920000,18,34,18,20,78325000,90
Commerce State Bank,8494000,22794600,38513500,8310000,10,32,44,5,78112100,91
"Golden Pacific Bank, National Association",8735000,18772500,30708900,19658000,5,19,47,176,77874400,247
"Pioneer Bank, SSB",17794900,26099400,14493300,18571900,15,22,16,16,76959500,69
"First Tennessee Bank, National Association",13516000,29912900,17022200,16286600,12,22,13,17,76737700,64
Venture Bank,11571100,16468000,18530200,29436000,24,38,49,47,76005300,158
Community Bank of Mississippi,6491600,11457500,28417500,29540700,32,70,103,77,75907300,282
Central Bank,18014100,33990050,11922750,11921650,24,53,31,50,75848550,158
City National Bank,11329100,18561100,23035000,21886700,20,53,65,82,74811900,220
OakStar Bank,18579100,16959200,22874150,16334700,35,52,46,28,74747150,161
The Bank of Missouri,8861800,30559300,18138000,16952400,33,95,95,73,74511500,296
BankVista,14365600,20256600,23724700,14452000,34,49,45,36,72798900,164
"Integrity Bank, ssb",5330000,6974600,32928000,25736400,3,10,24,25,70969000,62
1st Source Bank,11996100,23506305,14522919,20563550,86,196,156,180,70588874,618
Provident Bank,9103000,23020000,19543000,18767500,6,30,27,25,70433500,88
Georgia Banking Company,12561500,27384600,10869500,19449000,15,32,16,15,70264600,78
"Texas Capital Bank, National Association",29059000,27829600,10015000,2500000,14,19,7,1,69403600,41
Guaranty Bank and Trust Company,9183300,30932300,14765000,14068700,16,42,35,34,68949300,127
Commerce Bank,17696400,22576500,18040600,10458300,18,66,69,61,68771800,214
"Bank of Southern California, National Association",20179500,21544500,14780500,12164000,20,21,22,23,68668500,86
Northwest FCU,,102000,17915000,50457000,,1,8,39,68474000,48
Exchange Bank,12192100,24483000,10290100,20866500,19,41,21,32,67831700,113
Cross River Bank,12215000,12855600,17306500,24772400,9,13,21,24,67149500,67
First National Bank of Omaha,12485000,22873073,16057600,15101800,35,93,65,72,66517473,265
Great Western Bank,8354530,20411950,23397200,13121056,16,36,44,24,65284736,120
The Brand Banking Company,2915000,26639300,17559800,17917500,7,24,22,17,65031600,70
Horizon Bank,6219700,20994300,13598022,23138100,24,95,59,52,63950122,230
Sturdy Savings Bank,11171000,18162600,21467400,11703800,14,41,46,32,62504800,133
Wisconsin Bank & Trust,7673500,10794400,13260900,30765700,9,11,21,60,62494500,101
"World Trade Finance,  Inc.",12200000,24740000,13372500,12150000,5,10,10,5,62462500,30
CrossFirst Bank,8485800,17585200,19971500,15698050,12,32,30,26,61740550,100
Frost Bank,10445900,19729600,16854100,14411200,36,70,68,48,61440800,222
First Guaranty Bank,4460000,5482000,24547900,26892000,7,9,19,20,61381900,55
"Grow America Fund, Incorporated",10739287,15773000,8803000,25420000,16,30,22,29,60735287,97
"UMB Bank, National Association",11176000,16055772,17735635,15465600,23,57,64,68,60433007,212
"TransPecos Banks, SSB.",2744000,19675000,20218000,17141000,2,10,14,10,59778000,36
PlainsCapital Bank,10829000,16216900,18993000,13692800,9,18,28,15,59731700,70
Seacoast National Bank,21233500,16896500,14529600,6949300,73,46,43,27,59608900,189
Enterprise Bank,2100000,19809600,11123600,25760000,6,21,14,19,58793200,60
"Community Banks of Colorado, A Division of",7840600,29007200,10061100,11844300,17,39,32,17,58753200,105
American Bank of Commerce d/b/a AmBank,8735000,15886100,20372300,13652300,8,21,21,15,58645700,65
Aquesta Bank,12316700,18750500,18616800,8925700,14,22,23,9,58609700,68
First Commonwealth Bank,20055700,7076800,22053300,9209400,17,29,55,44,58395200,145
CTBC Bank Corp. (USA).,300000,14534000,18540000,24345500,1,12,16,20,57719500,49
Members Choice CU,780000,21489000,21806500,13275000,1,17,17,13,57350500,48
Shinhan Bank America,8647000,22090500,25089500,1380000,19,42,28,5,57207000,94
Banesco USA,15500000,10150000,18800000,12675000,7,7,14,10,57125000,38
United Pacific Bank,11000000,12601000,16990000,16433500,5,6,7,7,57024500,25
FortuneBank,6445400,13963900,19608100,16769100,8,22,19,10,56786500,59
Premier Valley Bank,1994000,5671600,27795700,20494400,4,13,70,66,55955700,153
EverTrust Bank,6106000,17239000,11050500,21243000,8,15,12,16,55638500,51
Fresno First Bank,5747000,15622000,17259000,16984000,25,40,38,29,55612000,132
"Florida Capital Bank, National Association",15245400,5935606,20488500,13616700,46,15,23,20,55286206,104
Millennium Bank,7033300,27437300,9085700,11511800,6,18,8,10,55068100,42
Western Commerce Bank,18518400,19702500,8761800,7918000,22,51,20,28,54900700,121
Level One Bank,10399000,6469300,16817700,21108400,9,11,27,41,54794400,88
"HSBC Bank USA, National Association",1916500,19130000,20509000,13210000,5,14,32,18,54765500,69
American Pride Bank,8600000,20415000,16810000,8055000,3,9,7,5,53880000,24
Sonabank,3598600,18425000,14497112,17304900,15,65,44,55,53825612,179
Colorado National Bank,,,9468000,44264800,,,6,20,53732800,26
"Horizon Bank, SSB",8024900,23589900,9110600,12809000,10,30,30,33,53534400,103
CornerstoneBank,5715500,20419000,15406400,11796500,5,23,24,16,53337400,68
21st Century Bank,6381000,17010600,16750700,12457600,29,50,42,56,52599900,177
The American National Bank of Texas,3767500,13656400,17765800,16574340,12,32,39,33,51764040,116
The First National Bank of Tom Bean,7848300,12336400,22154100,9146900,8,19,36,15,51485700,78
BCB Community Bank,9800000,11067000,6950000,23450000,9,15,11,21,51267000,56
Legacy National Bank,12376500,14276700,20511134,3807900,24,50,44,10,50972234,128
Platinum Bank,13010000,24276500,8880000,4713000,10,36,23,17,50879500,86
CDC Small Business Finance Corporation,11191000,19917860,10518900,9057600,75,127,84,81,50685360,367
"Beacon Business Bank, National Association",12940900,29807000,4162000,3001100,13,15,5,5,49911000,38
Lubbock National Bank,5852800,8387475,19703200,15884500,10,18,36,30,49827975,94
Two River Community Bank,5815600,23106000,12516600,8342900,12,20,14,10,49781100,56
BankPlus,6491300,20638700,11757500,10856900,18,40,29,23,49744400,110
"Grand Bank, N.A.",3031500,10518000,13800000,22231000,9,31,19,22,49580500,81
Rockland Trust Company,9971100,11845700,13124800,14165800,34,96,115,101,49107400,346
Almena State Bank,6555100,26226025,11991600,4256300,7,19,8,5,49029025,39
Mountain Pacific Bank,11616000,33987500,664000,2750500,15,22,1,2,49018000,40
River Valley Bank,11093500,11925900,18780800,6329400,24,34,43,15,48129600,116
Community Valley Bank,6285400,13621900,20206200,7791500,8,18,26,21,47905000,73
First Oklahoma Bank,1785000,25122400,8994000,11810000,4,34,19,23,47711400,80
The State Bank and Trust Company,13838100,12989600,9260800,11272700,11,22,25,27,47361200,85
HomeTown Bank,8506300,11315900,18247500,9203100,17,29,50,25,47272800,121
Kinecta FCU,11762400,6169000,5717000,23400100,16,25,21,47,47048500,109
American National Bank,3633000,14696700,12752200,15751700,11,24,27,29,46833600,91
Indus American Bank,291800,15020000,10436000,20831644,1,19,15,13,46579444,48
"Community Trust Bank, Inc.",6439600,17082900,12325800,10698900,36,76,74,78,46547200,264
The Provident Bank,10179200,13504400,8572000,14263910,20,27,35,41,46519510,123
Premier Business Bank,4692000,10180300,11996000,18944000,5,6,11,18,45812300,40
"CenTrust Bank, National Association",13886600,10789500,20218800,851000,10,18,28,2,45745900,58
National Bank of Commerce,3054000,9277200,27738100,5601800,5,25,25,20,45671100,75
Third Coast Bank SSB,2812400,15537500,21151800,6124100,6,10,23,8,45625800,47
MidWestOne Bank,7898200,8656520,14254800,14499100,12,17,27,28,45308620,84
Waukesha State Bank,4835700,15923300,8166100,16075900,11,32,33,33,45001000,109
Entegra Bank,5390300,12899425,19756400,6709800,8,16,27,10,44755925,61
SaviBank,8134200,12048200,11237100,12571300,18,24,22,19,43990800,83
"Affiliated Bank, National Association",7526000,13755000,12746500,9900700,5,16,10,8,43928200,39
The Piedmont Bank,6168000,13936000,16788500,6727500,6,18,19,12,43620000,55
Bankwell Bank,6834200,11712700,8836800,15476900,5,8,12,14,42860600,39
Westbound Bank,1368000,12513000,23194000,5780000,1,4,14,5,42855000,24
Avidia Bank,8815500,12167000,8720800,12644000,15,38,25,16,42347300,94
Metro Phoenix Bank,1686000,15045200,11840600,13668500,5,15,12,11,42240300,43
First Pryority Bank,3833300,16443763,17021800,4836600,22,40,36,10,42135463,108
New Buffalo Savings Bank,7286500,29968200,4866000,,2,14,2,,42120700,18
Mid Penn Bank,13388830,15353000,8345500,4875400,26,45,30,17,41962730,118
Coastal Community Bank,2781300,3129700,11778700,24055400,5,19,38,51,41745100,113
Community National Bank,3865500,8695700,15393700,13422500,13,23,39,27,41377400,102
Guaranty Bank,7139700,13458500,17942700,2486500,16,27,30,9,41027400,82
The State Bank,16489500,8842700,9354900,6224100,21,23,24,17,40911200,85
Marquis Bank,3152100,6127200,23490900,8091000,5,5,10,4,40861200,24
mBank,4559500,17808600,11804815,6514100,9,29,19,18,40687015,75
Cache Valley Bank,,3379500,15722475,21292000,,23,38,45,40393975,106
Minnwest Bank,6675500,20219300,8739000,4752164,14,22,20,12,40385964,68
Cornerstone Community Bank,5299000,16158800,15346600,3349000,21,38,35,33,40153400,127
Manufacturers Bank,7545500,11786000,8587000,11812000,14,25,21,16,39730500,76
United Bank of Philadelphia,3904000,12286000,13554500,9722400,9,14,14,10,39466900,47
The First Bank and Trust Company,503000,15087300,16024300,7614000,4,17,10,5,39228600,36
Peoples Bank and Trust Company,1515500,18269000,14887500,4471500,2,9,6,7,39143500,24
City National Bank of Florida,2500000,7887500,20527700,8160000,1,6,14,10,39075200,31
Sandy Spring Bank,2190000,9391600,7336900,19729100,4,25,27,39,38647600,95
"Freedom Small Business Lending BIDCO, Inc.",,14007700,24429100,,,22,23,,38436800,45
First Federal Savings Bank,3230457,8638700,8869700,17406000,14,19,14,35,38144857,82
Peapack-Gladstone Bank,6665000,22725000,8115000,325000,7,24,17,1,37830000,49
Nicolet National Bank,2052600,9903700,17029300,8580600,8,35,31,42,37566200,116
"Titan Bank, National Association",9349900,3539800,7758000,16794700,10,8,14,31,37442400,63
CharterBank,8020100,7107100,9982400,12257000,4,4,9,10,37366600,27
Summit Bank,4563500,16900600,7514000,8338500,8,26,21,17,37316600,72
Trustmark National Bank,3149100,8997800,14060600,11106590,27,59,76,67,37314090,229
Central Valley Community Bank,6124900,12783600,9613800,8375300,13,40,40,40,36897600,133
Community Bank of the Bay,7251500,7664300,9087200,12822500,6,12,9,14,36825500,41
Redwood CU,4863000,11333300,4554000,15274500,12,26,18,30,36024800,86
BNC National Bank,2121000,7925000,15625100,10295900,9,24,30,30,35967000,93
Bangor Savings Bank,3130100,10885500,12234200,9309300,24,69,74,92,35559100,259
Flushing Bank,4343000,8729500,9205000,13089500,3,12,10,16,35367000,41
Stock Yards Bank & Trust Company,6245400,7842600,10076900,10917200,11,25,28,23,35082100,87
Highland Bank,2982500,12044000,9857500,9932100,17,38,56,58,34816100,169
Oxford Bank,11452900,13747993,9554900,,11,16,6,,34755793,33
Stone Bank,15328800,12749000,4851000,1765000,21,10,7,1,34693800,39
"Sunflower Bank, National Association",3100000,6015500,14936800,10316800,1,17,30,23,34369100,71
Bank of Ann Arbor,3589700,12814000,10481400,7375500,5,14,18,18,34260600,55
Horizon Community Bank,11336500,10369000,3056100,9393000,11,20,11,24,34154600,66
Summit CU,2353600,9243900,12624700,9878100,30,72,91,89,34100300,282
Southern States Bank,392000,10558500,21463100,1484000,2,9,16,4,33897600,31
The Oculina Bank,7676000,11094000,6644000,8447000,9,22,22,18,33861000,71
The Columbia Bank,,7380000,10440175,15882000,,7,12,18,33702175,37
United Bank,2375600,12236500,15084359,3981600,9,33,43,35,33678059,120
"American Commerce Bank, National Association",6565400,10053500,10692600,6311800,7,8,13,10,33623300,38
North Valley Bank,10650500,12863000,10091000,,10,12,8,,33604500,30
Tri Counties Bank,3554900,11134000,12583800,6185000,13,63,70,39,33457700,185
Hantz Bank,1400000,5840000,10753100,15410900,2,13,27,18,33404000,60
"Rabobank, National Association",6057600,6324800,11008600,9962200,20,18,42,31,33353200,111
Salem Five Cents Savings Bank,6148000,6794700,7175400,13164600,30,35,50,33,33282700,148
Freedom Bank,4501500,16945700,8097900,3674300,6,18,8,3,33219400,35
CresCom Bank,,16896900,7207600,8968900,,34,37,20,33073400,91
Hiawatha National Bank,11121000,3053400,14505900,4314000,16,15,35,19,32994300,85
Monterey County Bank,6280000,12850000,5860000,7570000,9,19,15,15,32560000,58
The Bryn Mawr Trust Company,4435400,5491200,8861800,13748000,3,8,10,19,32536400,40
"Sunrise Banks, National Association",4843500,13480500,7466500,6540000,30,49,30,35,32330500,144
Technology CU,5934500,4269500,13951500,8034000,3,10,10,6,32189500,29
Financial Resources FCU,901600,8601300,18201318,4481200,5,12,31,9,32185418,57
Greater Nevada CU,2965000,5842500,22614300,500000,4,6,20,1,31921800,31
First Merchants Bank,2269700,8523900,7835400,12852000,11,42,59,53,31481000,165
First State Bank,4289300,13380790,8714450,4989900,13,29,25,18,31374440,85
Core Bank,15406000,9954288,831445,5132300,20,19,3,16,31324033,58
